date,Open,High,Low,Close,Volume,aVWAP_peak_407,aVWAP_peak_359,aVWAP_peak_330,aVWAP_peak_297,aVWAP_peak_260,aVWAP_peak_239,aVWAP_peak_171,aVWAP_peak_131,aVWAP_peak_95,aVWAP_peak_66,aVWAP_peak_30,aVWAP_valley_414,aVWAP_valley_364,aVWAP_valley_343,aVWAP_valley_342,aVWAP_valley_325,aVWAP_valley_302,aVWAP_valley_284,aVWAP_valley_250,aVWAP_valley_189,aVWAP_valley_151,aVWAP_valley_109,aVWAP_valley_45,aVWAP_OB_bull_189,aVWAP_OB_bull_0,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-11-16 17:00:00+00:00,18.895,18.955,18.8,18.8,36933.0,,,,,,,,,,,,,,,,,,,,,,,,,18.851666666666663,,#000000,,,,,,False,False,False,False,False,,1.0,18.8,18.955,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,36933.0,False,False,False,False
2023-11-17 17:00:00+00:00,19.135,19.25,19.135,19.185,23508.0,,,,,,,,,,,,,,,,,,,,,,,,,18.983258466934696,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23508.0,364.4651162790698,False,False,False,False,36724.860465116275,False,False,False,False
2023-11-20 17:00:00+00:00,19.205,19.325,19.16,19.31,19894.0,,,,,,,,,,,,,,,,,,,,,,,,,19.05302838115392,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43402.0,1031.7137191274564,False,False,False,False,36463.916892013694,False,False,False,False
2023-11-21 17:00:00+00:00,19.065,19.11,19.005,19.085,16862.0,,,,,,,,,,,,,,,,,,,,,,,,,19.055394388029807,,#000000,,,,88.28689867926352,39.45820881133716,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26540.0,1427.191025807651,False,False,False,False,36160.01120376542,False,False,False,False
2023-11-22 17:00:00+00:00,19.13,19.165,19.035,19.05,14092.0,,,,,,,,,,,,,,,,,,,,,,,,,19.058932164604467,,#000000,,,,79.22567494984345,32.00589353410329,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12448.0,1598.0562812214857,False,False,False,False,35817.871495179905,False,False,False,False
2023-11-23 17:00:00+00:00,19.05,19.05,19.05,19.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,19.058932164604467,,#000000,,,,73.18485913023007,27.487651962480015,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12448.0,1766.2724629079744,False,False,False,False,35262.555658045334,False,False,False,False
2023-11-24 17:00:00+00:00,19.375,19.43,19.37,19.4,10813.0,,,,,,,,,,,,,,,,,,,,,,,,,19.089136145736077,,#000000,,,,74.64248873327371,27.487651962480015,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23261.0,2099.5240526303314,False,False,False,False,34883.49277962602,False,False,False,False
2023-11-27 17:00:00+00:00,19.24,19.34,19.195,19.305,26612.0,,,,,,,,,,,,,,,,,,,,,,,,,19.123290757202863,,#000000,,,,72.65675863713997,27.487651962480015,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3351.0,2015.0198037523419,False,False,False,False,34755.25258149229,False,False,False,False
2023-11-28 17:00:00+00:00,19.39,19.395,19.26,19.31,11829.0,,,,,,,,,,,,,,,,,,,,,,,,,19.137907331161536,,#000000,,,,71.40316692651312,27.487651962480015,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8478.0,2115.221047105019,False,False,False,False,34399.80680503504,False,False,False,False
2023-11-29 17:00:00+00:00,19.33,19.415,19.29,19.3,20550.0,,,,,,,,,,,,,,,,,,,,,,,,,19.16027293526899,,#000000,,,,70.22497462329792,26.391182866167597,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12072.0,1895.2641316460265,False,False,False,False,34185.08111813528,False,False,False,False
