date,Open,High,Low,Close,Volume,aVWAP_peak_606,aVWAP_peak_582,aVWAP_peak_566,aVWAP_peak_547,aVWAP_peak_512,aVWAP_peak_497,aVWAP_peak_455,aVWAP_peak_382,aVWAP_peak_362,aVWAP_peak_335,aVWAP_peak_298,aVWAP_peak_277,aVWAP_peak_235,aVWAP_peak_204,aVWAP_peak_179,aVWAP_peak_145,aVWAP_peak_127,aVWAP_peak_77,aVWAP_peak_17,aVWAP_valley_589,aVWAP_valley_572,aVWAP_valley_556,Peaks_avg,Valleys_avg,color,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-10-30 16:00:00+00:00,14.275,14.345,14.125,14.295,15529.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,15529.0,False,False,False,False
2023-10-31 16:00:00+00:00,14.51,14.54,14.235,14.42,10765.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,10765.0,166.89922480620154,False,False,False,False,15455.139534883721,False,False,False,False
2023-11-01 16:00:00+00:00,14.545,14.625,14.405,14.52,14182.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,24947.0,551.0868337239349,False,False,False,False,15435.400937443663,False,False,False,False
2023-11-02 16:00:00+00:00,14.125,14.58,14.085,14.44,57251.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-32304.0,41.7056425034088,False,False,False,False,16083.704798878643,False,False,False,False
2023-11-03 16:00:00+00:00,14.4,14.425,14.055,14.075,33609.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-65913.0,-980.8479333493573,False,False,False,False,16355.414801996803,False,False,False,False
2023-11-06 16:00:00+00:00,14.165,14.22,13.835,13.955,6748.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-72661.0,-2092.168120429212,False,False,False,False,16206.462634523985,False,False,False,False
2023-11-06 20:00:00+00:00,13.955,13.975,13.925,13.955,7270.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-72661.0,-3186.2585371667437,False,False,False,False,16067.912826236792,False,False,False,False
2023-11-07 16:00:00+00:00,13.255,13.325,13.065,13.17,31263.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-103924.0,-4748.083986202918,False,False,False,False,16303.495573116841,False,False,False,False
2023-11-07 20:00:00+00:00,13.175,13.185,13.08,13.105,30478.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-134402.0,-6758.2222189749655,False,False,False,False,16523.25533167317,False,False,False,False
2023-11-08 16:00:00+00:00,12.79,12.94,12.635,12.77,8398.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.0,0.0,0.0,0.0,,,False,False,False,False,,,False,False,False,False,-142800.0,-8867.397068293183,False,False,False,False,16397.282380794513,False,False,False,False
