date,Open,High,Low,Close,Volume,aVWAP_peak_890,aVWAP_peak_876,aVWAP_peak_858,aVWAP_peak_816,aVWAP_peak_778,aVWAP_peak_766,aVWAP_peak_765,aVWAP_peak_727,aVWAP_peak_713,aVWAP_peak_697,aVWAP_peak_655,aVWAP_peak_634,aVWAP_peak_596,aVWAP_peak_581,aVWAP_peak_563,aVWAP_peak_516,aVWAP_peak_497,aVWAP_peak_455,aVWAP_peak_428,aVWAP_peak_425,aVWAP_peak_393,aVWAP_peak_359,aVWAP_peak_332,aVWAP_peak_312,aVWAP_peak_282,aVWAP_peak_268,aVWAP_peak_264,aVWAP_peak_245,aVWAP_peak_227,aVWAP_peak_198,aVWAP_peak_146,aVWAP_peak_132,aVWAP_peak_105,aVWAP_peak_78,aVWAP_peak_54,aVWAP_peak_14,aVWAP_valley_872,aVWAP_valley_832,aVWAP_valley_792,aVWAP_valley_774,aVWAP_valley_743,aVWAP_valley_726,aVWAP_valley_684,aVWAP_valley_660,aVWAP_valley_647,aVWAP_valley_629,aVWAP_valley_611,aVWAP_valley_582,aVWAP_valley_545,aVWAP_valley_527,aVWAP_valley_494,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,18.62,18.755,18.485,18.72,2451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,18.72,18.725,18.55,18.55,1765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,18.55,18.625,18.545,18.61,804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,18.62,18.63,18.59,18.59,689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,18.59,18.61,18.52,18.61,1666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,18.61,18.64,18.48,18.56,11208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,1.0,18.64,18.48,16.0
2024-12-17 15:00:00+00:00,18.62,18.62,18.555,18.565,2794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,18.53,18.66,18.53,18.635,1232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,18.655,18.76,18.64,18.72,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,18.725,18.79,18.67,18.77,1921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
