date,Open,High,Low,Close,Volume,aVWAP_peak_204,aVWAP_peak_153,aVWAP_peak_130,aVWAP_peak_129,aVWAP_peak_113,aVWAP_peak_102,aVWAP_peak_75,aVWAP_peak_55,aVWAP_valley_180,aVWAP_valley_179,Peaks_avg,Valleys_avg,color
2025-07-09 13:30:00+00:00,16.04,16.04,16.04,16.04,70.0,,,,,,,,,,,,,#000000
2025-07-09 13:35:00+00:00,16.04,16.125,16.04,16.09,706.0,,,,,,,,,,,,,#000000
2025-07-09 13:40:00+00:00,16.09,16.095,16.05,16.06,631.0,,,,,,,,,,,,,#000000
2025-07-09 13:45:00+00:00,16.07,16.13,16.02,16.12,392.0,,,,,,,,,,,,,#000000
2025-07-09 13:50:00+00:00,16.1,16.1,16.05,16.07,271.0,,,,,,,,,,,,,#000000
2025-07-09 13:55:00+00:00,16.07,16.07,16.01,16.015,670.0,,,,,,,,,,,,,#000000
2025-07-09 14:00:00+00:00,16.03,16.06,15.995,16.04,477.0,,,,,,,,,,,,,#000000
2025-07-09 14:05:00+00:00,16.045,16.09,16.0,16.09,567.0,,,,,,,,,,,,,#000000
2025-07-09 14:10:00+00:00,16.08,16.1,16.04,16.085,384.0,,,,,,,,,,,,,#000000
2025-07-09 14:15:00+00:00,16.085,16.085,16.025,16.025,517.0,,,,,,,,,,,,,#000000
2025-07-09 14:20:00+00:00,16.03,16.075,16.025,16.075,630.0,,,,,,,,,,,,,#000000
2025-07-09 14:25:00+00:00,16.07,16.075,15.98,15.985,479.0,,,,,,,,,,,,,#000000
2025-07-09 14:30:00+00:00,15.98,15.985,15.915,15.975,507.0,,,,,,,,,,,,,#000000
2025-07-09 14:35:00+00:00,15.975,15.99,15.9,15.975,408.0,,,,,,,,,,,,,#000000
2025-07-09 14:40:00+00:00,15.975,15.98,15.92,15.92,252.0,,,,,,,,,,,,,#000000
2025-07-09 14:45:00+00:00,15.92,15.93,15.895,15.91,291.0,,,,,,,,,,,,,#000000
2025-07-09 14:50:00+00:00,15.895,15.9,15.84,15.85,897.0,,,,,,,,,,,,,#000000
