date,Open,High,Low,Close,Volume,aVWAP_peak_857,aVWAP_peak_797,aVWAP_peak_775,aVWAP_peak_737,aVWAP_peak_700,aVWAP_peak_659,aVWAP_peak_641,aVWAP_peak_611,aVWAP_peak_596,aVWAP_peak_580,aVWAP_peak_552,aVWAP_peak_533,aVWAP_peak_509,aVWAP_peak_487,aVWAP_peak_457,aVWAP_peak_443,aVWAP_peak_428,aVWAP_peak_401,aVWAP_peak_371,aVWAP_peak_329,aVWAP_peak_312,aVWAP_peak_293,aVWAP_peak_262,aVWAP_peak_247,aVWAP_peak_229,aVWAP_peak_159,aVWAP_peak_144,aVWAP_peak_90,aVWAP_valley_882,aVWAP_valley_870,aVWAP_valley_847,aVWAP_valley_822,aVWAP_valley_792,aVWAP_valley_744,aVWAP_valley_726,aVWAP_valley_681,aVWAP_valley_648,aVWAP_valley_624,aVWAP_valley_606,aVWAP_valley_590,aVWAP_valley_564,aVWAP_valley_546,aVWAP_valley_527,aVWAP_valley_474,Peaks_avg,Valleys_avg,color,OB,OB_High,OB_Low,OB_Mitigated_Index
2024-12-16 15:00:00+00:00,116.28,116.54,115.69,116.095,1913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 16:00:00+00:00,116.095,116.095,115.17,115.185,2134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 17:00:00+00:00,115.185,115.92,115.1,115.63,1174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 18:00:00+00:00,115.63,116.36,115.46,116.34,2122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 19:00:00+00:00,116.21,116.25,115.5,116.05,1942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-16 20:00:00+00:00,115.935,116.17,115.27,116.125,7107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 15:00:00+00:00,112.34,112.34,110.45,110.995,1040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 16:00:00+00:00,110.995,111.76,110.995,111.43,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 17:00:00+00:00,111.49,111.98,111.0,111.88,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
2024-12-17 18:00:00+00:00,111.88,111.945,111.44,111.86,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,0.0,0.0
