date,Open,High,Low,Close,Volume,color
2025-07-02 13:30:00+00:00,,,,,0.0,#000000
2025-07-02 13:35:00+00:00,,,,,0.0,#000000
2025-07-02 13:40:00+00:00,,,,,0.0,#000000
2025-07-02 13:45:00+00:00,,,,,0.0,#000000
2025-07-02 13:50:00+00:00,,,,,0.0,#000000
2025-07-02 13:55:00+00:00,,,,,0.0,#000000
2025-07-02 14:00:00+00:00,,,,,0.0,#000000
2025-07-02 14:05:00+00:00,,,,,0.0,#000000
2025-07-02 14:10:00+00:00,,,,,0.0,#000000
2025-07-02 14:15:00+00:00,,,,,0.0,#000000
2025-07-02 14:20:00+00:00,,,,,0.0,#000000
2025-07-02 14:25:00+00:00,,,,,0.0,#000000
2025-07-02 14:30:00+00:00,,,,,0.0,#000000
2025-07-02 14:35:00+00:00,,,,,0.0,#000000
2025-07-02 14:40:00+00:00,,,,,0.0,#000000
2025-07-02 14:45:00+00:00,,,,,0.0,#000000
2025-07-02 14:50:00+00:00,,,,,0.0,#000000
2025-07-02 14:55:00+00:00,,,,,0.0,#000000
2025-07-02 15:00:00+00:00,,,,,0.0,#000000
2025-07-02 15:05:00+00:00,,,,,0.0,#000000
2025-07-02 15:10:00+00:00,,,,,0.0,#000000
2025-07-02 15:15:00+00:00,,,,,0.0,#000000
2025-07-02 15:20:00+00:00,,,,,0.0,#000000
2025-07-02 15:25:00+00:00,,,,,0.0,#000000
2025-07-02 15:30:00+00:00,,,,,0.0,#000000
2025-07-02 15:35:00+00:00,,,,,0.0,#000000
2025-07-02 15:40:00+00:00,,,,,0.0,#000000
2025-07-02 15:45:00+00:00,,,,,0.0,#000000
2025-07-02 15:50:00+00:00,,,,,0.0,#000000
2025-07-02 15:55:00+00:00,,,,,0.0,#000000
2025-07-02 16:00:00+00:00,,,,,0.0,#000000
2025-07-02 16:05:00+00:00,,,,,0.0,#000000
2025-07-02 16:10:00+00:00,,,,,0.0,#000000
2025-07-02 16:15:00+00:00,,,,,0.0,#000000
2025-07-02 16:20:00+00:00,,,,,0.0,#000000
2025-07-02 16:25:00+00:00,,,,,0.0,#000000
2025-07-02 16:30:00+00:00,,,,,0.0,#000000
2025-07-02 16:35:00+00:00,,,,,0.0,#000000
2025-07-02 16:40:00+00:00,,,,,0.0,#000000
2025-07-02 16:45:00+00:00,,,,,0.0,#000000
2025-07-02 16:50:00+00:00,,,,,0.0,#000000
2025-07-02 16:55:00+00:00,,,,,0.0,#000000
2025-07-02 17:00:00+00:00,,,,,0.0,#000000
2025-07-02 17:05:00+00:00,,,,,0.0,#000000
2025-07-02 17:10:00+00:00,,,,,0.0,#000000
2025-07-02 17:15:00+00:00,,,,,0.0,#000000
2025-07-02 17:20:00+00:00,,,,,0.0,#000000
2025-07-02 17:25:00+00:00,,,,,0.0,#000000
2025-07-02 17:30:00+00:00,,,,,0.0,#000000
2025-07-02 17:35:00+00:00,,,,,0.0,#000000
2025-07-02 17:40:00+00:00,,,,,0.0,#000000
2025-07-02 17:45:00+00:00,,,,,0.0,#000000
2025-07-02 17:50:00+00:00,,,,,0.0,#000000
2025-07-02 17:55:00+00:00,,,,,0.0,#000000
2025-07-02 18:00:00+00:00,,,,,0.0,#000000
2025-07-02 18:05:00+00:00,,,,,0.0,#000000
2025-07-02 18:10:00+00:00,,,,,0.0,#000000
2025-07-02 18:15:00+00:00,,,,,0.0,#000000
2025-07-02 18:20:00+00:00,,,,,0.0,#000000
2025-07-02 18:25:00+00:00,,,,,0.0,#000000
2025-07-02 18:30:00+00:00,,,,,0.0,#000000
2025-07-02 18:35:00+00:00,,,,,0.0,#000000
2025-07-02 18:40:00+00:00,,,,,0.0,#000000
2025-07-02 18:45:00+00:00,,,,,0.0,#000000
2025-07-02 18:50:00+00:00,,,,,0.0,#000000
2025-07-02 18:55:00+00:00,,,,,0.0,#000000
2025-07-02 19:00:00+00:00,,,,,0.0,#000000
2025-07-02 19:05:00+00:00,,,,,0.0,#000000
2025-07-02 19:10:00+00:00,,,,,0.0,#000000
2025-07-02 19:15:00+00:00,,,,,0.0,#000000
2025-07-02 19:20:00+00:00,,,,,0.0,#000000
2025-07-02 19:25:00+00:00,,,,,0.0,#000000
2025-07-02 19:30:00+00:00,,,,,0.0,#000000
2025-07-02 19:35:00+00:00,,,,,0.0,#000000
2025-07-02 19:40:00+00:00,,,,,0.0,#000000
2025-07-02 19:45:00+00:00,,,,,0.0,#000000
2025-07-02 19:50:00+00:00,,,,,0.0,#000000
2025-07-02 19:55:00+00:00,,,,,0.0,#000000
